Time,System Time (s),Sample Time (s),LED_A_782_DET1,LED_A_782_DET2,LED_A_782_DET3,LED_A_801_DET1,LED_A_801_DET2,LED_A_801_DET3,LED_A_808_DET1,LED_A_808_DET2,LED_A_808_DET3,LED_A_828_DET1,LED_A_828_DET2,LED_A_828_DET3,LED_A_848_DET1,LED_A_848_DET2,LED_A_848_DET3,LED_A_887_DET1,LED_A_887_DET2,LED_A_887_DET3,LED_A_DARK_DET1,LED_A_DARK_DET2,LED_A_DARK_DET3,LED_B_782_DET1,LED_B_782_DET2,LED_B_782_DET3,LED_B_801_DET1,LED_B_801_DET2,LED_B_801_DET3,LED_B_808_DET1,LED_B_808_DET2,LED_B_808_DET3,LED_B_828_DET1,LED_B_828_DET2,LED_B_828_DET3,LED_B_848_DET1,LED_B_848_DET2,LED_B_848_DET3,LED_B_887_DET1,LED_B_887_DET2,LED_B_887_DET3,LED_B_DARK_DET1,LED_B_DARK_DET2,LED_B_DARK_DET3,Accelerometer X axis,Accelerometer Y axis,Accelerometer Z axis,Gyroscope X axis,Gyroscope Y axis,Gyroscope Z axis,PCB Temp,Skin Temp
09:55:00,0.1903201938,0.15051225000000001,1.9895700642,0.6535672992,0.2269921395,1.5746841143,0.5145253595,0.1795647685,1.7342936818,0.5606017175,0.1946157338,1.7674283888,0.5559164145000001,0.19015131700000001,1.8432707393,0.5673088102,0.1907998155,1.4474664557,0.4121823973,0.1340724565,0.0084316851,0.00828833,0.0083676755,0.18542035980000002,0.5387485058,1.6620719978,0.14328077,0.4129745112,1.2788950955,0.15798590980000002,0.4586487088,1.4355248655,0.15444965500000002,0.4555573388,1.4662299455,0.1528892295,0.4578941918,1.5053111245,0.10832477400000001,0.3327161448,1.1731673055,0.008486128400000001,0.0082835693,0.0084858398,-4.0051818328,1.5113636364,9.0707497597,0.081363636,0.0632499987,0.081363636,8255.3636363636,35625.0
09:55:01,0.8655117425000001,0.8306963636,2.0016385466,0.6557889789,0.22744852370000002,1.5848639368,0.5169427306000001,0.1802788189,1.7445872617,0.5636059170000001,0.1954990103,1.778091585,0.5601545983,0.19157547490000001,1.8534701051,0.5725318208,0.192747887,1.4562949593,0.41804343250000003,0.1365381424,0.0084461425,0.0082990058,0.0083862305,0.1855473983,0.5407891676000001,1.6738382585,0.14342205400000002,0.414552368,1.2883164824,0.15813028240000002,0.46056841070000004,1.4468267949,0.1546744227,0.4578810327,1.475926064,0.1531003747,0.46068664810000004,1.5168912276,0.1085673887,0.33582345700000005,1.1832173553,0.0084912111,0.0082908448,0.0084933195,-4.0051818328,1.5150000095,9.081181873,0.0814000003,0.0636363632,0.0814000003,8255.3636363636,35772.7272727273
09:55:02,1.9035879049,1.8536927273000001,2.0036641325,0.6567476217,0.227607142,1.5862930407,0.5177934386,0.1803786234,1.745960908,0.564595603,0.195689147,1.7796065952,0.5609900675,0.1918277941,1.8548262155,0.5735431799,0.1930368029,1.4574015645,0.4186763162,0.1366928543,0.0084461425,0.0082990058,0.008386255,0.1855473983,0.5407891676000001,1.6738382585,0.14342205400000002,0.414552368,1.2883164824,0.15813028240000002,0.46056841070000004,1.4468267949,0.1546744227,0.4578810327,1.475926064,0.1531003747,0.46068664810000004,1.5168912276,0.1085673887,0.33582345700000005,1.1832173553,0.0084981801,0.00832049,0.0084992453,-4.0051818328,1.525,9.0893000603,0.0824999996,0.0661000013,0.0824999996,8258.0,35818.1818181818
09:55:03,2.8906121254,2.8558619,2.0036753009,0.6567476217,0.227607142,1.5870559536,0.5177934386,0.1803786234,1.746708502,0.564595603,0.195689147,1.7807046953,0.5609900675,0.1918277941,1.8562385024,0.5735431799,0.1930368029,1.4586391356,0.4186795565,0.1366928543,0.008439275500000001,0.0082990058,0.008386255,0.1855473983,0.5407891676000001,1.6738382585,0.14342205400000002,0.414552368,1.2883164824,0.15813028240000002,0.46056841070000004,1.4468267949,0.1546744227,0.4578810327,1.475926064,0.1531003747,0.46068664810000004,1.5168912276,0.1085673887,0.33582345700000005,1.1832173553,0.0084981801,0.00832049,0.0084992453,-3.9938999653000002,1.5150000095,9.09027273,0.0825454545,0.0661000013,0.0825454545,8258.0,35925.0
09:55:04,3.8358620882,3.7964351,2.0036641325,0.6566390435,0.2275348141,1.5862930407,0.5176427415,0.18034502530000002,1.745960908,0.5644565984000001,0.19553672100000002,1.7796065952,0.5609837421,0.1915917634,1.8548262155,0.5735119744,0.19276110840000002,1.4574015645,0.4186763162,0.1365381424,0.0084316851,0.0082990058,0.008386255,0.1840151694,0.5357952196,1.6607726038,0.14224758880000002,0.41082644,1.2785752045,0.1568723455,0.4564700418,1.435982973,0.153421906,0.45379432680000004,1.4662522175000001,0.151896049,0.45649252500000004,1.5054696604,0.1077203095,0.3326572902,1.1742023513,0.00849909,0.0083036499,0.008501953100000001,-3.9901666641,1.5113636364,9.093666633,0.0825454545,0.0646363649,0.0825454545,8255.5833333333,36000.0
09:55:05,4.8699570569,4.8199819091,2.0024160125,0.6557889789,0.22744852370000002,1.5852609175,0.5169427306000001,0.1802788189,1.7446683367,0.5636059170000001,0.1954990103,1.7781621742,0.5601545983,0.19157547490000001,1.8534701051,0.5725318208,0.192747887,1.4562949593,0.41804343250000003,0.13650657730000001,0.0084218138,0.008295288100000001,0.008386255,0.1837745955,0.5351340402,1.6575878181,0.14211302080000002,0.4104510006,1.2760389916000001,0.1566718839,0.45597444060000003,1.4330679805,0.1532463464,0.453319631,1.4627446913,0.1517289392,0.45608340070000003,1.5024473548,0.1075319149,0.3324024606,1.1716417442,0.00849909,0.0082976075,0.008501953100000001,-3.9884000063,1.4881818186,9.0953999519,0.0825454545,0.0661000013,0.0825454545,8255.5833333333,36022.7272727273
09:55:06,5.9041915735,5.87114925,2.0024160125,0.65503373,0.2268274056,1.5852609175,0.5165452851,0.1796918382,1.7446683367,0.5633390335,0.19500445,1.7781621742,0.5600679927000001,0.1911529095,1.8538458354,0.5727688991000001,0.1923818692,1.4562987146,0.4182265202,0.13621025720000002,0.0084116211,0.008295288100000001,0.008386255,0.1831260482,0.5337453317,1.6546451176,0.1416116615,0.4092312657,1.2736686952,0.1560957932,0.4546027691,1.430553165,0.15268655250000002,0.45186117140000004,1.4600731455,0.1510457645,0.45443103640000004,1.49912928,0.1071180478,0.33112971890000004,1.1687807089,0.008503662,0.0082976075,0.008501953100000001,-3.9819090150000003,1.4817272533,9.1025454781,0.0825454545,0.0669999994,0.0825454545,8255.5833333333,36022.7272727273
09:55:07,6.9123343944,6.8746821,2.0024160125,0.65503373,0.2268274056,1.5852609175,0.5165452851,0.1796918382,1.7446683367,0.5633390335,0.19500445,1.7781621742,0.5600679927000001,0.1911529095,1.8538458354,0.5726199733,0.192340232,1.4562987146,0.4180306308,0.13621025720000002,0.0084119763,0.0083055217,0.0083906658,0.1817806167,0.5296356402,1.6434383521,0.1405137905,0.4060371553,1.2649756609,0.1548742763,0.4510220655,1.4202092018,0.15151514530000001,0.44834102400000003,1.4499155910000001,0.1499142486,0.45090609870000004,1.4885005321,0.1063190311,0.3285230347,1.1603484129,0.008503662,0.008290904600000001,0.0085008301,-3.9819090150000003,1.4805000027,9.1123635552,0.08245454590000001,0.0669999994,0.08245454590000001,8254.4545454545,36022.7272727273
09:55:08,7.8895958337,7.8513206364,2.0003685713,0.6548924741000001,0.2267184966,1.5842468756,0.5162460224000001,0.1796847638,1.7436668960000001,0.5627983323,0.1948882559,1.7780450717,0.5592786178,0.1909406439,1.8533352742,0.5717426686,0.1921826485,1.4560390063,0.4173642211,0.1361008172,0.0084119763,0.0083061279,0.008405713,0.1815831645,0.5291698552,1.6406873775,0.14040117970000002,0.4056212886,1.2625475603,0.1547240321,0.4506463644,1.4178870225,0.15138040390000002,0.44794553410000004,1.4472428348,0.1497708824,0.45051601750000003,1.4857492581,0.10616868260000001,0.32814872510000004,1.1580596389,0.008503662,0.0082976075,0.0085059204,-3.9901666641,1.4245000005,9.1025454781,0.08210000020000001,0.0669999994,0.08210000020000001,8254.4545454545,35950.0
09:55:09,8.888079925,8.8414635455,1.9977444301,0.6531372698,0.2262257698,1.5819657189,0.5149095027,0.1792783794,1.7413569882,0.5614940270000001,0.19441927380000001,1.7747629959,0.5580357994,0.1905184435,1.8493944212,0.5705714691,0.1916784533,1.453248304,0.41655891110000004,0.1357227372,0.0084119763,0.0083061279,0.008405713,0.18100726120000002,0.5276311587,1.6394709957,0.13984043770000001,0.4043637688,1.2615868667,0.1541732376,0.44917632020000003,1.4162205674,0.1507451034,0.44632439150000003,1.4458793826,0.1491831582,0.4488798114,1.4842342921,0.1057879209,0.3269850533,1.1568332959,0.0084932129,0.0082976075,0.0085008301,-3.9851818735,1.4245000005,9.1124545878,0.08245454590000001,0.0669999994,0.08245454590000001,8254.4545454545,35886.3636363636
